Order_ID,Date,Customer_ID,Menu_Item_ID,Menu_Item_Name,Category,Price,Quantity,Total_Price,Restaurant_Location,Payment_Method,Delivery_Status
10,2024-03-26 14:39:19,81,2,Chicken Alfredo,Main Course,15.15,2,30.3,Uptown,Cash,Delivered
10,2024-06-23 10:55:54,81,4,Limoncello,Beverage,12.58,1,12.58,Uptown,Online Payment,Delivered
11,2024-08-16 20:21:15,11,1,Bruschetta,Appetizer,5.38,3,16.14,Suburb,Credit Card,Delivered
11,2024-04-18 00:55:31,11,3,Gelato,Dessert,11.33,2,22.66,Suburb,Online Payment,Picked Up
11,2024-11-10 08:26:19,11,1,Stuffed Mushrooms,Appetizer,9.13,1,9.13,Suburb,Online Payment,Delivered
11,2024-12-03 14:27:58,11,4,Espresso,Beverage,5.45,3,16.35,Suburb,Credit Card,Picked Up
12,2024-01-03 12:34:22,86,3,Panna Cotta,Dessert,6.3,1,6.3,Suburb,Cash,Delivered
12,2024-10-21 16:35:50,86,3,Gelato,Dessert,11.33,1,11.33,Suburb,Credit Card,Delivered
12,2024-11-08 22:46:47,86,4,Limoncello,Beverage,12.58,3,37.74,Suburb,Online Payment,Delivered
13,2024-03-03 00:07:57,76,1,Bruschetta,Appetizer,5.38,3,16.14,Downtown,Online Payment,Delivered
14,2024-09-28 03:07:50,30,2,Chicken Alfredo,Main Course,15.15,1,15.15,Downtown,Online Payment,Delivered
15,2024-06-13 03:03:06,36,2,Margherita Pizza,Main Course,8.35,1,8.35,Suburb,Credit Card,Picked Up
15,2024-05-12 03:21:52,36,3,Gelato,Dessert,11.33,1,11.33,Suburb,Cash,Delivered
15,2024-04-17 21:56:55,36,1,Stuffed Mushrooms,Appetizer,9.13,3,27.39,Suburb,Credit Card,Picked Up
15,2024-03-01 09:10:26,36,3,Panna Cotta,Dessert,6.3,2,12.6,Suburb,Credit Card,Picked Up
16,2024-03-24 14:52:10,94,1,Garlic Bread,Appetizer,14.59,2,29.18,Downtown,Online Payment,Picked Up
17,2024-10-23 12:16:51,14,2,Margherita Pizza,Main Course,8.35,2,16.7,Downtown,Cash,Picked Up
17,2024-05-10 17:17:18,14,3,Gelato,Dessert,11.33,1,11.33,Downtown,Credit Card,Picked Up
18,2024-02-09 16:40:07,32,3,Gelato,Dessert,11.33,1,11.33,Downtown,Cash,Delivered
18,2024-02-06 00:27:14,32,1,Bruschetta,Appetizer,5.38,1,5.38,Downtown,Credit Card,Picked Up
18,2024-05-27 13:10:44,32,1,Garlic Bread,Appetizer,14.59,2,29.18,Downtown,Cash,Picked Up
18,2024-02-07 13:27:43,32,4,Limoncello,Beverage,12.58,1,12.58,Downtown,Cash,Picked Up
19,2024-05-19 09:55:49,1,3,Panna Cotta,Dessert,6.3,3,18.9,Uptown,Online Payment,Picked Up
19,2024-11-25 03:13:12,1,2,Spaghetti Carbonara,Main Course,16.05,1,16.05,Uptown,Cash,Picked Up
19,2024-05-13 13:53:58,1,3,Tiramisu,Dessert,18.38,1,18.38,Uptown,Cash,Delivered
20,2024-08-22 11:08:04,96,1,Garlic Bread,Appetizer,14.59,3,43.77,Uptown,Credit Card,Delivered
21,2024-04-12 17:30:47,8,1,Stuffed Mushrooms,Appetizer,9.13,1,9.13,Suburb,Online Payment,Delivered
22,2024-11-09 10:58:50,87,1,Bruschetta,Appetizer,5.38,3,16.14,Downtown,Cash,Picked Up
22,2024-01-17 20:59:14,87,4,Espresso,Beverage,5.45,3,16.35,Downtown,Online Payment,Picked Up
22,2024-10-10 09:35:35,87,2,Margherita Pizza,Main Course,8.35,2,16.7,Downtown,Cash,Picked Up
22,2024-06-27 10:09:00,87,1,Garlic Bread,Appetizer,14.59,1,14.59,Downtown,Credit Card,Picked Up
23,2024-07-27 06:00:29,17,3,Panna Cotta,Dessert,6.3,1,6.3,Suburb,Credit Card,Delivered
23,2024-02-18 11:27:50,17,2,Chicken Alfredo,Main Course,15.15,1,15.15,Suburb,Online Payment,Delivered
23,2024-05-27 00:11:46,17,1,Bruschetta,Appetizer,5.38,3,16.14,Suburb,Credit Card,Delivered
24,2024-01-31 14:28:15,45,2,Chicken Alfredo,Main Course,15.15,1,15.15,Downtown,Credit Card,Picked Up
24,2024-08-02 09:23:29,45,2,Spaghetti Carbonara,Main Course,16.05,3,48.15,Downtown,Online Payment,Delivered
25,2024-04-23 20:37:10,86,4,Cappuccino,Beverage,8.28,2,16.56,Suburb,Cash,Delivered
25,2024-11-18 02:36:42,86,1,Bruschetta,Appetizer,5.38,3,16.14,Suburb,Online Payment,Delivered
25,2024-09-01 03:20:51,86,1,Stuffed Mushrooms,Appetizer,9.13,2,18.26,Suburb,Credit Card,Delivered
26,2024-08-28 05:01:18,92,4,Cappuccino,Beverage,8.28,2,16.56,Uptown,Online Payment,Picked Up
26,2024-11-30 15:41:25,92,4,Limoncello,Beverage,12.58,2,25.16,Uptown,Cash,Delivered
27,2024-05-20 10:40:57,82,1,Garlic Bread,Appetizer,14.59,1,14.59,Uptown,Online Payment,Picked Up
27,2024-08-12 05:18:43,82,4,Limoncello,Beverage,12.58,1,12.58,Uptown,Online Payment,Picked Up
27,2024-03-15 16:15:34,82,2,Chicken Alfredo,Main Course,15.15,3,45.45,Uptown,Online Payment,Picked Up
28,2024-09-30 15:05:07,72,1,Bruschetta,Appetizer,5.38,3,16.14,Downtown,Cash,Delivered
29,2024-01-28 00:18:03,48,1,Stuffed Mushrooms,Appetizer,9.13,2,18.26,Suburb,Cash,Picked Up
29,2024-01-18 19:06:51,48,3,Tiramisu,Dessert,18.38,1,18.38,Suburb,Online Payment,Delivered
29,2024-09-13 19:25:15,48,4,Limoncello,Beverage,12.58,3,37.74,Suburb,Cash,Picked Up
29,2024-03-29 12:09:57,48,1,Garlic Bread,Appetizer,14.59,3,43.77,Suburb,Credit Card,Delivered
29,2024-10-27 05:31:09,48,2,Spaghetti Carbonara,Main Course,16.05,1,16.05,Suburb,Cash,Delivered
30,2024-04-22 09:17:28,53,4,Limoncello,Beverage,12.58,2,25.16,Downtown,Online Payment,Delivered
30,2024-01-31 23:42:54,53,2,Chicken Alfredo,Main Course,15.15,2,30.3,Downtown,Cash,Delivered
31,2024-11-28 04:08:20,49,2,Margherita Pizza,Main Course,8.35,2,16.7,Downtown,Cash,Delivered
31,2024-03-31 09:46:05,49,4,Limoncello,Beverage,12.58,1,12.58,Downtown,Online Payment,Delivered
31,2024-12-02 12:12:47,49,3,Panna Cotta,Dessert,6.3,2,12.6,Downtown,Credit Card,Picked Up
31,2024-02-09 05:24:05,49,2,Chicken Alfredo,Main Course,15.15,1,15.15,Downtown,Credit Card,Picked Up
32,2024-05-27 15:01:59,83,4,Cappuccino,Beverage,8.28,1,8.28,Suburb,Credit Card,Delivered
32,2024-04-17 22:54:06,83,3,Gelato,Dessert,11.33,3,33.99,Suburb,Credit Card,Delivered
32,2024-06-25 02:05:25,83,2,Chicken Alfredo,Main Course,15.15,1,15.15,Suburb,Online Payment,Picked Up
32,2024-09-03 21:00:30,83,1,Garlic Bread,Appetizer,14.59,2,29.18,Suburb,Online Payment,Picked Up
33,2024-11-19 22:28:21,56,1,Bruschetta,Appetizer,5.38,1,5.38,Suburb,Online Payment,Picked Up
33,2024-05-21 16:28:56,56,3,Tiramisu,Dessert,18.38,1,18.38,Suburb,Online Payment,Delivered
33,2024-03-04 04:02:45,56,4,Espresso,Beverage,5.45,2,10.9,Suburb,Credit Card,Delivered
33,2024-05-23 18:20:12,56,2,Margherita Pizza,Main Course,8.35,3,25.05,Suburb,Credit Card,Picked Up
33,2024-05-17 23:21:46,56,2,Spaghetti Carbonara,Main Course,16.05,3,48.15,Suburb,Cash,Picked Up
34,2024-03-22 08:44:49,65,2,Chicken Alfredo,Main Course,15.15,1,15.15,Uptown,Cash,Picked Up
34,2024-09-17 06:29:07,65,3,Tiramisu,Dessert,18.38,3,55.14,Uptown,Credit Card,Delivered
34,2024-04-13 16:24:49,65,2,Spaghetti Carbonara,Main Course,16.05,3,48.15,Uptown,Online Payment,Picked Up
34,2024-09-29 13:26:21,65,3,Gelato,Dessert,11.33,2,22.66,Uptown,Online Payment,Delivered
35,2024-09-22 11:07:33,39,3,Tiramisu,Dessert,18.38,3,55.14,Uptown,Online Payment,Picked Up
35,2024-09-08 16:07:39,39,4,Espresso,Beverage,5.45,2,10.9,Uptown,Credit Card,Picked Up
36,2024-01-28 17:31:10,87,3,Panna Cotta,Dessert,6.3,1,6.3,Downtown,Cash,Picked Up
36,2024-08-24 13:30:44,87,1,Stuffed Mushrooms,Appetizer,9.13,1,9.13,Downtown,Cash,Delivered
36,2024-09-03 14:25:35,87,1,Bruschetta,Appetizer,5.38,1,5.38,Downtown,Cash,Delivered
36,2024-03-07 11:07:40,87,2,Spaghetti Carbonara,Main Course,16.05,2,32.1,Downtown,Online Payment,Delivered
36,2024-07-26 10:32:40,87,2,Chicken Alfredo,Main Course,15.15,2,30.3,Downtown,Credit Card,Delivered
37,2024-10-10 03:57:15,92,3,Panna Cotta,Dessert,6.3,3,18.9,Suburb,Online Payment,Delivered
37,2024-04-05 01:48:11,92,3,Tiramisu,Dessert,18.38,1,18.38,Suburb,Credit Card,Delivered
37,2024-03-04 11:01:17,92,2,Margherita Pizza,Main Course,8.35,1,8.35,Suburb,Online Payment,Picked Up
37,2024-06-28 12:34:38,92,1,Stuffed Mushrooms,Appetizer,9.13,1,9.13,Suburb,Online Payment,Delivered
38,2024-05-27 08:46:51,16,3,Panna Cotta,Dessert,6.3,3,18.9,Uptown,Online Payment,Picked Up
38,2024-04-14 20:05:45,16,4,Cappuccino,Beverage,8.28,2,16.56,Uptown,Online Payment,Picked Up
39,2024-09-05 13:13:48,71,4,Limoncello,Beverage,12.58,2,25.16,Uptown,Credit Card,Delivered
39,2024-09-24 06:08:03,71,3,Panna Cotta,Dessert,6.3,3,18.9,Uptown,Credit Card,Picked Up
40,2024-08-04 07:08:52,81,3,Panna Cotta,Dessert,6.3,1,6.3,Downtown,Credit Card,Picked Up
40,2024-03-26 06:57:42,81,1,Bruschetta,Appetizer,5.38,2,10.76,Downtown,Online Payment,Delivered
40,2024-09-22 21:04:02,81,2,Spaghetti Carbonara,Main Course,16.05,1,16.05,Downtown,Cash,Delivered
41,2024-05-05 22:32:02,50,4,Limoncello,Beverage,12.58,1,12.58,Suburb,Credit Card,Picked Up
41,2024-11-23 07:56:57,50,2,Margherita Pizza,Main Course,8.35,2,16.7,Suburb,Online Payment,Picked Up
42,2024-10-25 09:12:05,54,3,Tiramisu,Dessert,18.38,3,55.14,Downtown,Online Payment,Delivered
42,2024-10-28 08:50:36,54,4,Limoncello,Beverage,12.58,3,37.74,Downtown,Credit Card,Picked Up
43,2024-01-22 17:22:46,1,3,Tiramisu,Dessert,18.38,3,55.14,Uptown,Online Payment,Delivered
43,2024-03-29 22:52:57,1,4,Limoncello,Beverage,12.58,2,25.16,Uptown,Cash,Picked Up
43,2024-11-15 03:45:19,1,3,Gelato,Dessert,11.33,2,22.66,Uptown,Credit Card,Delivered
44,2024-01-13 11:11:45,50,4,Limoncello,Beverage,12.58,3,37.74,Uptown,Online Payment,Delivered
44,2024-11-08 15:34:14,50,1,Stuffed Mushrooms,Appetizer,9.13,2,18.26,Uptown,Online Payment,Delivered
44,2024-05-02 12:14:07,50,3,Panna Cotta,Dessert,6.3,1,6.3,Uptown,Online Payment,Picked Up
44,2024-06-04 19:07:36,50,4,Cappuccino,Beverage,8.28,1,8.28,Uptown,Credit Card,Delivered
45,2024-04-13 23:31:33,7,2,Chicken Alfredo,Main Course,15.15,2,30.3,Uptown,Credit Card,Picked Up
45,2024-01-26 16:55:21,7,2,Margherita Pizza,Main Course,8.35,2,16.7,Uptown,Credit Card,Delivered
45,2024-03-22 22:30:09,7,3,Panna Cotta,Dessert,6.3,2,12.6,Uptown,Cash,Delivered
45,2024-08-08 06:30:04,7,4,Limoncello,Beverage,12.58,2,25.16,Uptown,Cash,Delivered
46,2024-12-06 08:20:17,100,1,Garlic Bread,Appetizer,14.59,1,14.59,Suburb,Cash,Delivered
47,2024-10-05 19:26:45,80,1,Stuffed Mushrooms,Appetizer,9.13,3,27.39,Downtown,Cash,Delivered
47,2024-05-02 05:00:37,80,3,Panna Cotta,Dessert,6.3,2,12.6,Downtown,Online Payment,Picked Up
48,2024-03-23 13:49:22,99,4,Espresso,Beverage,5.45,3,16.35,Uptown,Online Payment,Delivered
48,2024-09-11 13:07:52,99,4,Limoncello,Beverage,12.58,1,12.58,Uptown,Credit Card,Delivered
49,2024-07-12 21:10:21,75,4,Espresso,Beverage,5.45,2,10.9,Downtown,Online Payment,Delivered
49,2024-06-02 15:33:23,75,4,Cappuccino,Beverage,8.28,1,8.28,Downtown,Online Payment,Delivered
49,2024-09-06 15:48:49,75,3,Tiramisu,Dessert,18.38,1,18.38,Downtown,Online Payment,Picked Up
50,2024-06-27 04:48:33,88,4,Espresso,Beverage,5.45,1,5.45,Suburb,Credit Card,Picked Up
51,2024-02-25 11:39:35,85,3,Gelato,Dessert,11.33,3,33.99,Uptown,Credit Card,Delivered
52,2024-04-12 20:51:43,54,3,Tiramisu,Dessert,18.38,2,36.76,Uptown,Online Payment,Picked Up
53,2024-02-24 05:26:56,91,1,Stuffed Mushrooms,Appetizer,9.13,2,18.26,Downtown,Credit Card,Picked Up
53,2024-04-05 18:44:05,91,3,Gelato,Dessert,11.33,3,33.99,Downtown,Online Payment,Picked Up
53,2024-10-16 07:48:02,91,2,Spaghetti Carbonara,Main Course,16.05,2,32.1,Downtown,Cash,Delivered
53,2024-08-06 00:19:48,91,4,Cappuccino,Beverage,8.28,2,16.56,Downtown,Credit Card,Delivered
54,2024-07-28 07:37:56,97,4,Espresso,Beverage,5.45,2,10.9,Uptown,Credit Card,Delivered
54,2024-04-12 00:55:45,97,4,Cappuccino,Beverage,8.28,2,16.56,Uptown,Cash,Picked Up
54,2024-10-17 02:40:24,97,3,Tiramisu,Dessert,18.38,2,36.76,Uptown,Credit Card,Picked Up
54,2024-08-15 00:44:10,97,2,Chicken Alfredo,Main Course,15.15,3,45.45,Uptown,Online Payment,Picked Up
54,2024-06-15 09:17:33,97,1,Garlic Bread,Appetizer,14.59,3,43.77,Uptown,Cash,Delivered
55,2024-08-14 14:55:15,11,3,Panna Cotta,Dessert,6.3,3,18.9,Downtown,Online Payment,Picked Up
55,2024-06-04 02:40:57,11,3,Gelato,Dessert,11.33,2,22.66,Downtown,Cash,Delivered
55,2024-05-20 14:03:05,11,2,Margherita Pizza,Main Course,8.35,2,16.7,Downtown,Cash,Picked Up
55,2024-03-26 04:13:03,11,4,Limoncello,Beverage,12.58,3,37.74,Downtown,Cash,Picked Up
56,2024-02-23 17:20:43,85,3,Panna Cotta,Dessert,6.3,2,12.6,Suburb,Credit Card,Picked Up
56,2024-07-16 21:07:45,85,3,Gelato,Dessert,11.33,2,22.66,Suburb,Online Payment,Picked Up
56,2024-07-10 15:54:03,85,4,Cappuccino,Beverage,8.28,2,16.56,Suburb,Credit Card,Picked Up
57,2024-02-05 07:20:13,30,2,Chicken Alfredo,Main Course,15.15,3,45.45,Downtown,Online Payment,Delivered
57,2024-10-20 12:24:01,30,1,Bruschetta,Appetizer,5.38,1,5.38,Downtown,Cash,Picked Up
58,2024-01-19 07:09:23,36,3,Gelato,Dessert,11.33,2,22.66,Suburb,Cash,Picked Up
58,2024-11-30 10:03:39,36,4,Espresso,Beverage,5.45,1,5.45,Suburb,Credit Card,Delivered
58,2024-02-12 14:00:14,36,2,Spaghetti Carbonara,Main Course,16.05,3,48.15,Suburb,Online Payment,Delivered
58,2024-02-29 08:35:03,36,1,Bruschetta,Appetizer,5.38,2,10.76,Suburb,Cash,Delivered
58,2024-08-31 16:13:15,36,2,Margherita Pizza,Main Course,8.35,3,25.05,Suburb,Credit Card,Delivered
59,2024-03-03 03:08:25,82,1,Garlic Bread,Appetizer,14.59,3,43.77,Uptown,Credit Card,Picked Up
60,2024-11-03 14:42:53,62,1,Stuffed Mushrooms,Appetizer,9.13,2,18.26,Uptown,Cash,Delivered
60,2024-09-21 06:32:40,62,1,Garlic Bread,Appetizer,14.59,2,29.18,Uptown,Credit Card,Delivered
60,2024-06-12 22:48:57,62,2,Spaghetti Carbonara,Main Course,16.05,3,48.15,Uptown,Online Payment,Delivered
61,2024-08-19 14:56:06,20,2,Spaghetti Carbonara,Main Course,16.05,3,48.15,Downtown,Online Payment,Delivered
61,2024-01-25 16:07:16,20,1,Bruschetta,Appetizer,5.38,3,16.14,Downtown,Credit Card,Picked Up
61,2024-05-29 10:17:28,20,2,Margherita Pizza,Main Course,8.35,2,16.7,Downtown,Credit Card,Picked Up
61,2024-05-28 04:56:58,20,4,Cappuccino,Beverage,8.28,2,16.56,Downtown,Online Payment,Delivered
61,2024-08-19 10:04:57,20,3,Tiramisu,Dessert,18.38,3,55.14,Downtown,Online Payment,Delivered
62,2024-06-30 18:32:28,98,2,Spaghetti Carbonara,Main Course,16.05,1,16.05,Downtown,Cash,Delivered
62,2024-07-24 11:42:11,98,4,Cappuccino,Beverage,8.28,1,8.28,Downtown,Online Payment,Delivered
63,2024-04-07 15:20:57,21,3,Panna Cotta,Dessert,6.3,1,6.3,Downtown,Cash,Picked Up
63,2024-08-02 20:26:20,21,4,Espresso,Beverage,5.45,3,16.35,Downtown,Credit Card,Picked Up
63,2024-11-30 07:02:53,21,4,Limoncello,Beverage,12.58,1,12.58,Downtown,Online Payment,Delivered
63,2024-01-05 11:00:39,21,2,Spaghetti Carbonara,Main Course,16.05,2,32.1,Downtown,Online Payment,Delivered
64,2024-09-21 04:42:03,55,2,Margherita Pizza,Main Course,8.35,1,8.35,Downtown,Cash,Delivered
64,2024-10-06 21:36:51,55,4,Cappuccino,Beverage,8.28,2,16.56,Downtown,Online Payment,Picked Up
64,2024-02-14 11:41:58,55,1,Stuffed Mushrooms,Appetizer,9.13,2,18.26,Downtown,Cash,Picked Up
64,2024-09-21 18:00:04,55,2,Spaghetti Carbonara,Main Course,16.05,3,48.15,Downtown,Credit Card,Picked Up
64,2024-07-27 12:55:34,55,4,Espresso,Beverage,5.45,2,10.9,Downtown,Online Payment,Picked Up
65,2024-10-18 14:41:18,57,1,Garlic Bread,Appetizer,14.59,1,14.59,Downtown,Cash,Delivered
65,2024-04-13 14:59:27,57,3,Tiramisu,Dessert,18.38,3,55.14,Downtown,Credit Card,Delivered
65,2024-10-25 11:51:33,57,2,Chicken Alfredo,Main Course,15.15,1,15.15,Downtown,Credit Card,Picked Up
65,2024-09-05 22:11:49,57,2,Spaghetti Carbonara,Main Course,16.05,2,32.1,Downtown,Cash,Picked Up
65,2024-05-12 02:39:54,57,4,Limoncello,Beverage,12.58,3,37.74,Downtown,Credit Card,Delivered
66,2024-02-13 07:44:29,61,2,Chicken Alfredo,Main Course,15.15,2,30.3,Uptown,Credit Card,Picked Up
66,2024-04-23 23:37:10,61,4,Limoncello,Beverage,12.58,2,25.16,Uptown,Online Payment,Picked Up
66,2024-06-17 20:18:21,61,1,Bruschetta,Appetizer,5.38,3,16.14,Uptown,Cash,Picked Up
66,2024-03-02 10:08:13,61,1,Stuffed Mushrooms,Appetizer,9.13,1,9.13,Uptown,Credit Card,Picked Up
67,2024-06-25 05:00:41,42,3,Gelato,Dessert,11.33,2,22.66,Downtown,Cash,Delivered
67,2024-01-02 06:14:54,42,1,Garlic Bread,Appetizer,14.59,3,43.77,Downtown,Credit Card,Picked Up
67,2024-10-07 10:23:08,42,4,Limoncello,Beverage,12.58,3,37.74,Downtown,Credit Card,Delivered
67,2024-12-06 03:32:27,42,3,Panna Cotta,Dessert,6.3,1,6.3,Downtown,Credit Card,Delivered
68,2024-10-06 11:54:36,37,1,Bruschetta,Appetizer,5.38,3,16.14,Uptown,Cash,Picked Up
68,2024-04-12 06:57:49,37,1,Garlic Bread,Appetizer,14.59,3,43.77,Uptown,Cash,Picked Up
68,2024-07-13 09:48:02,37,4,Espresso,Beverage,5.45,1,5.45,Uptown,Cash,Delivered
68,2024-10-22 22:00:08,37,2,Margherita Pizza,Main Course,8.35,2,16.7,Uptown,Cash,Delivered
69,2024-03-10 09:09:22,64,3,Gelato,Dessert,11.33,2,22.66,Suburb,Credit Card,Delivered
69,2024-07-16 03:56:10,64,2,Spaghetti Carbonara,Main Course,16.05,2,32.1,Suburb,Online Payment,Delivered
69,2024-02-11 07:49:14,64,3,Tiramisu,Dessert,18.38,2,36.76,Suburb,Cash,Delivered
70,2024-12-04 01:49:16,9,2,Chicken Alfredo,Main Course,15.15,2,30.3,Uptown,Online Payment,Picked Up
70,2024-08-30 20:13:12,9,3,Gelato,Dessert,11.33,3,33.99,Uptown,Online Payment,Picked Up
70,2024-04-25 21:42:25,9,2,Spaghetti Carbonara,Main Course,16.05,1,16.05,Uptown,Credit Card,Picked Up
70,2024-11-22 20:55:36,9,1,Garlic Bread,Appetizer,14.59,2,29.18,Uptown,Credit Card,Picked Up
71,2024-09-05 03:26:27,59,4,Limoncello,Beverage,12.58,3,37.74,Uptown,Credit Card,Delivered
71,2024-07-16 03:45:39,59,2,Margherita Pizza,Main Course,8.35,2,16.7,Uptown,Cash,Picked Up
72,2024-08-24 12:00:49,96,3,Tiramisu,Dessert,18.38,1,18.38,Uptown,Cash,Picked Up
72,2024-03-18 05:59:09,96,4,Cappuccino,Beverage,8.28,1,8.28,Uptown,Credit Card,Delivered
72,2024-02-29 08:33:54,96,1,Stuffed Mushrooms,Appetizer,9.13,3,27.39,Uptown,Credit Card,Delivered
72,2024-05-25 05:07:46,96,3,Panna Cotta,Dessert,6.3,3,18.9,Uptown,Cash,Picked Up
73,2024-10-23 03:06:56,84,3,Panna Cotta,Dessert,6.3,2,12.6,Downtown,Credit Card,Picked Up
74,2024-03-03 17:44:46,84,4,Cappuccino,Beverage,8.28,2,16.56,Downtown,Online Payment,Picked Up
74,2024-07-28 11:22:36,84,3,Gelato,Dessert,11.33,3,33.99,Downtown,Cash,Delivered
74,2024-10-29 09:19:29,84,3,Tiramisu,Dessert,18.38,1,18.38,Downtown,Online Payment,Picked Up
75,2024-07-24 23:15:16,30,3,Tiramisu,Dessert,18.38,1,18.38,Suburb,Online Payment,Delivered
76,2024-01-01 05:19:49,57,1,Garlic Bread,Appetizer,14.59,1,14.59,Downtown,Credit Card,Picked Up
76,2024-08-20 14:34:05,57,4,Limoncello,Beverage,12.58,2,25.16,Downtown,Credit Card,Delivered
76,2024-05-05 21:21:12,57,2,Chicken Alfredo,Main Course,15.15,1,15.15,Downtown,Online Payment,Picked Up
77,2024-07-08 18:08:07,73,1,Stuffed Mushrooms,Appetizer,9.13,1,9.13,Suburb,Online Payment,Picked Up
77,2024-01-08 13:32:11,73,4,Limoncello,Beverage,12.58,3,37.74,Suburb,Online Payment,Delivered
78,2024-02-13 10:40:57,64,2,Margherita Pizza,Main Course,8.35,3,25.05,Suburb,Credit Card,Picked Up
78,2024-05-20 23:13:33,64,3,Panna Cotta,Dessert,6.3,2,12.6,Suburb,Online Payment,Delivered
79,2024-12-07 06:16:53,60,1,Stuffed Mushrooms,Appetizer,9.13,3,27.39,Uptown,Credit Card,Picked Up
79,2024-11-18 23:41:04,60,1,Bruschetta,Appetizer,5.38,2,10.76,Uptown,Credit Card,Delivered
79,2024-11-09 07:41:10,60,3,Panna Cotta,Dessert,6.3,2,12.6,Uptown,Credit Card,Delivered
79,2024-04-29 10:14:21,60,2,Chicken Alfredo,Main Course,15.15,1,15.15,Uptown,Credit Card,Picked Up
79,2024-04-02 23:51:26,60,2,Spaghetti Carbonara,Main Course,16.05,3,48.15,Uptown,Credit Card,Picked Up
80,2024-01-23 11:54:06,3,2,Spaghetti Carbonara,Main Course,16.05,3,48.15,Suburb,Online Payment,Picked Up
80,2024-04-03 13:05:09,3,1,Garlic Bread,Appetizer,14.59,2,29.18,Suburb,Cash,Picked Up
80,2024-12-06 23:38:33,3,4,Espresso,Beverage,5.45,1,5.45,Suburb,Online Payment,Delivered
